Location","Project Title","Federal Contribution,"Note"
Boisbriand,"Water system and road work on Côte Sud Road",1632066,
Boischatel,"Program for the renewal of drinking water and wastewater pipes (PRECO)",429030,
Bonaventure,"Renovation of the Quebec Acadian museum in Bonaventure",138300,
Bonne Espérance,"Drinking water supply and treatment ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Bonne-Espérance,"Pavement Reconstruction on route 138 in Bonne-Espérance",3550000,
Boucherville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1893310,
Boucherville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",114825,
Boucherville,"Installation of storm water pipelines",596773,
Boucherville,"Installation of storm water pipelines on Catherine-Forestier Street",512590,
Bromont,"Program for the renewal of drinking water and wastewater pipes (PRECO)",124575,
Bromont,"Program for the renewal of drinking water and wastewater pipes (PRECO)",352000,
Bromont,"Program for the renewal of drinking water and wastewater pipes (PRECO)",150000,
Bromont,"Program for the renewal of drinking water and wastewater pipes (PRECO)",182110,
Bromont,"Construction of an arena and community centre parking lot",91601,
Bromont,"Reconstruction of urban infrastructure - Sheffort Street",1212891,
Bromont,"Waste water system in Bromont",259000,
Brossard,"Program for the renewal of drinking water and wastewater pipes (PRECO)",839625,
Brossard,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1164240,
Brossard,"Program for the renewal of drinking water and wastewater pipes (PRECO)",632115,
Brossard,"Repaving Highway 30",1540000,
Brownsburg-Chatham,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1341185,
Brownsburg-Chatham,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1058790,
Bryson,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Bury,"Program for the renewal of drinking water and wastewater pipes (PRECO)",52500,
Cabano,"Construction of a cultural building",457398,
Cabano,"Expansion of Highway 185 - Phase 2",222500000,
Cabano,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Candiac,"Program for the renewal of drinking water and wastewater pipes (PRECO)",209490,
Candiac,"Program for the renewal of drinking water and wastewater pipes (PRECO)",770410,
Cap-Chat,"Upgrades to Route 132 in Cap-Chat",250000,
Cap-Santé,"Construction of a community centre in Cap-Santé",633945,
Carignan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",664125,
Carignan,"Installation of a sewer network in the center area",1318667,
Carleton-sur-Mer,"Upgrade of drinking water supply ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Causapscal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",312000,
Causapscal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",48750,
Chambly,"Program for the renewal of drinking water and wastewater pipes (PRECO)",297250,
Chambly,"Program for the renewal of drinking water and wastewater pipes (PRECO)",445630,
Chambly,"Program for the renewal of drinking water and wastewater pipes (PRECO)",961485,
Chambord,"Resurfacing Route 169 between Val-Jalbert and Chambord - Phase 2",672000,
Chambord,"Highway 155 Improvements",1306000,
Champlain,"Repairing Route 359",375000,
Charlemagne,"Program for the renewal of drinking water and wastewater pipes (PRECO)",620200,
Château-Richer,"Restoration of the Côte-de-Beaupré interpretation centre",233000,
Château-Richer,"Sanitary sewer system and drinking water lines ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Châteauguay,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1555515,
Châteauguay,"Water system work in Châteauguay",854240,
Chelsea,"Chelsea wastewater treatment",1224183,
Chertsey,"Program for the renewal of drinking water and wastewater pipes (PRECO)",449625,
Chertsey,"Program for the renewal of drinking water and wastewater pipes (PRECO)",173250,
Chertsey,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Chesterville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",527250,
Chibougamau,"Resurfacing Highway 113",1820000,
Chibougamau,"Reconstruction of the Obalski Park multi-purpose pavilion",1227142,
Chicoutimi,"Redevelopment of the Bagotville Bay port village",5367261,
Chicoutimi,"Rehabilitation and modernisation of the Jonquière filtration plant",6138741,
Chicoutimi,"Building the Shipshaw multiservice centre",1191494,
Chute-aux-Outardes,"Drinking water production facility upgrade ? Chute-aux-Outardes",3119451,
Clermont,"Program for the renewal of drinking water and wastewater pipes (PRECO)",70000,
Clermont,"Program for the renewal of drinking water and wastewater pipes (PRECO)",341500,
Coaticook,"Program for the renewal of drinking water and wastewater pipes (PRECO)",163000,
Coaticook,"Restoration of Château Arthur-Osmore-Norton",120552,
Coaticook,"Restoration of the Sisco Memorial Church",53467,
Colombier,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Contrecoeur,"Program for the renewal of drinking water and wastewater pipes (PRECO)",241080,
Contrecoeur,"Program for the renewal of drinking water and wastewater pipes (PRECO)",197450,
Contrecoeur,"Upgrades to Sewage and Waste Water Systems",681000,
Cookshire-Eaton,"Rebuilding On-ramps on Highway 210",1117500,
Cookshire-Eaton,"Repairs to Highway 108 in Cookshire-Eaton",937500,
Cookshire-Eaton and Newport,"Repairs to Route 212 in Cookshire-Eaton and Newport",707500,
Côte-Saint-Luc,"Program for the renewal of drinking water and wastewater pipes (PRECO)",721500,
Côte-Saint-Luc,"Construction of an inter-generational and aquatic centre",5785940,
Coteau-du-Lac,"Upgrading of filtration plant",712500,
Couronne Sud de Montréal,"Biomethanization project in the Couronne Sud",31023333,
Cowansville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",638945,
Cowansville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",928885,
Cowansville,"Reconstruction of Barker Reservoir",54095,
Cowansville,"Rehabilitation of Principale Street",1211681,
Crabtree,"Program for the renewal of drinking water and wastewater pipes (PRECO)",524940,
Danville,"Replacement of refrigeration equipment",40000,
Dégelis,"Repairs to the Saint-Jean Route in Dégelis",625000,
Déléage,"Program for the renewal of drinking water and wastewater pipes (PRECO)",194775,
Delson,"Program for the renewal of drinking water and wastewater pipes (PRECO)",369270,
Delson,"Program for the renewal of drinking water and wastewater pipes (PRECO)",700260,
Delson-Candiac-Sainte-Catherine,"Improvement of Signage and Infrastructure on the Montréal/Delson-Candiac Commuter Train Line",2600000,
Deschaillons-sur-Saint-Laurent,"Drinking water production plant",70250,
Deschambault-Grondines,"Program for the renewal of drinking water and wastewater pipes (PRECO)",232600,
Deschambault-Grondines,"Drinking water distribution network extension in Grondines",1992525,
Disraeli,"Champoux Street (Route 263) Upgrades",971666,
Disraeli,"Arena renovation and park refitting",296212,
Dixville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",112800,
Dolbeau-Mistassini,"Program for the renewal of drinking water and wastewater pipes (PRECO)",24900,
Dolbeau-Mistassini,"Civic centre repairs and upgrades",498214,
Dolbeau-Mistassini,"Repair and modernisation of the Dolbeau and Mistassini arenas",2318493,
Dollar-des-Ormeaux,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1712105,
Dollar-Des-Ormeaux,"Renovation of the Dollard-des-Ormeaux Aquatic Centre",729195,
Donnacona,"Program for the renewal of drinking water and wastewater pipes (PRECO)",110840,
Donnacona,"Program for the renewal of drinking water and wastewater pipes (PRECO)",299375,
Donnacona,"Access Ramp for Highway 40 and 2nd Rural Route",1100000,
Dorion-Rigaud,"Upgrades to the Dorion-Rigaud, Delson-Candiac and Blainville-Saint-Jérôme Commuter Train System",4666200,
Dorval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",552905,
Drummondville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",47250,
Drummondville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",49500,
Drummondville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",58500,
Drummondville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",91760,
Drummondville,"Repairs to Highway 55 in Drummondville",3550000,
Drummondville,"Drummondville Cultural Centre",6166000,
Drummondville,"Construction of the Aquatic Centre",1474500,
Drummondville,"Multisport centre expansion and aquatic centre construction",4142167,
Drummondville,"Drummondville Exhibition Centre",6590000,
Drummondville,"Renovation and expansion of community centre",1104908,
Duhamel,"Road Repairs",168125,
Dupuy,"Program for the renewal of drinking water and wastewater pipes (PRECO)",538150,
Dupuy,"Drinking water improvements",339479,
East Abitibi,"Route 113 Resufacing",2175000,
East Angus,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1152840,
East-Angus,"Program for the renewal of drinking water and wastewater pipes (PRECO)",336000,
Eastman,"Program for the renewal of drinking water and wastewater pipes (PRECO)",170625,
Farnham,"Drinking Water and Sewer Pipelines",444392,
Farnham,"Rehabilitation of Water and Sewer Infrastructure in Farnham",164418,
Farnham,"Revitalizing the Conrad-Blain linear park",127908,
Fassett,"Program for the renewal of drinking water and wastewater pipes (PRECO)",741500,
Fatima,"Place du Village (Village of Fatima)",800450,
Ferme-Neuve,"Program for the renewal of drinking water and wastewater pipes (PRECO)",169825,
Fermont,"Wastewater treatment",2762425,
Forestville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",35050,
Forestville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",270185,
Franquelin,"Rehabilitation of municipal water infrastructure",730884,
Frontenac,"Program for the renewal of drinking water and wastewater pipes (PRECO)",118500,
Gaspé,"Repairs to Highway 132 in the Municipality of Gaspé (Penouille sector)",900500,
Gaspé,"Replacement of water pipes ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",235340,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",157410,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",931405,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",88740,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",176840,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",266400,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",378855,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",178690,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",369985,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",272375,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",434315,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",360985,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",85120,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",66375,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",53120,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",75530,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",89410,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",135180,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",198250,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",550985,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",939945,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",167240,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",276215,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",123255,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",116200,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",354930,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",31250,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",115395,
Gatineau,"Ramp Resurfacing Projects on Highway 50",1500000,
Gatineau,"Bridge Repairs",1112500,
Gatineau,"Highway 50 Repairs",1875000,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",183375,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",68705,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",166965,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",667625,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",109470,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",121450,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",35305,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",771695,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",264685,
Gatineau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",258090,
Gatineau,"Wastewater disinfection",5049000,
Gatineau,"Construction of a multisports centre",6000000,
Gatineau,"Rebuilding of the Palais des congrès ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Girardville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",440125,
Girardville,"Drinking Water Supply Systems in Girardville",152139,
Godbout,"Highway 138 Resurfacing",1550000,
Gracefield,"Construction of a water filtration plant from the Gatineau River ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Granby,"Program for the renewal of drinking water and wastewater pipes (PRECO)",469040,
Granby,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1052005,
Granby,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1393720,
Granby,"Program for the renewal of drinking water and wastewater pipes (PRECO)",144095,
Granby,"Program for the renewal of drinking water and wastewater pipes (PRECO)",214800,
Granby,"Program for the renewal of drinking water and wastewater pipes (PRECO)",254900,
Granby,"Program for the renewal of drinking water and wastewater pipes (PRECO)",368000,
Granby,"Construction of a third rink at Léonard-Grondin Arena",6257010,
Granby,"Robitaille Street - Renewal and extension of municipal infrastructure",1608080,
Grand-Saint-Esprit,"Program for the renewal of drinking water and wastewater pipes (PRECO)",90500,
Grande-Vallée,"Construction of a four-seasons skating rink",40140,
Hampstead,"Program for the renewal of drinking water and wastewater pipes (PRECO)",407250,
Hampstead,"Program for the renewal of drinking water and wastewater pipes (PRECO)",303700,
Hampstead,"Program for the renewal of drinking water and wastewater pipes (PRECO)",381750,
Hébertville,"Rebuilding the Intersection of Route 169 and Martin Street in Hébertville",1033000,
Hébertville,"Repairs to Highway 169 in the Municipality of Hébertville",550500,
Hébertville,"Du Lac-Vert Concession Road Resurfacing",1400000,
Hébertville,"Highway 169 Improvements",1033000,
Hébertville,"Modifying the artificial snowmaking system at Mont-Lac-Vert",1066425,
Hérouxville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1696875,
Hérouxville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",92500,
Hérouxville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",404325,
Hérouxville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",40000,
Hérouxville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",422375,
Howick,"Program for the renewal of drinking water and wastewater pipes (PRECO)",656895,
Huntingdon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1066360,
Huntingdon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",110975,
Huntingdon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",113975,
Île Perrot Water Board,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
James Bay,"Bridge Reconstruction on Highway 113",2200000,
Joliette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",573710,
Kazabazua,"Replacing the Kazabazua municipal rink",37618,
Kiamika,"Construction of recreational infrastructure in Kiamika",14735,
Kingsburry,"Wastewater Treatment ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Kingsbury,"Wastewater treatment ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Kirkland,"Program for the renewal of drinking water and wastewater pipes (PRECO)",210125,
Kirkland,"Renovations to a municipal library",1024468,
L'Ancienne-Lorette,"Multigenerational Training Centre",3266667,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",264600,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",130400,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",65835,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",335850,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",126325,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",448800,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",398850,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",220050,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",493075,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",203750,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",476775,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",281125,
L'Ancienne-Lorette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",163000,
L'Ancienne-Lorette,"Renovation of soccer field",912169,
L'Ancienne-Lorette,"Tennis Court Repair Work",156074,
L'Ange-Gardien,"Expansion of Drinking Water Reservoir",299902,
L'Ange-Gardien,"Rehabilitation of Royale Avenue - Phase 1- West sector",880200,
L'Ange-Gardien,"Repairs to a section of Doherty Road",166496,
L'Anse-Saint-Jean,"Program for the renewal of drinking water and wastewater pipes (PRECO)",108000,
L'Ascension,"Construction of a New Library in l'Ascension",121700,
L'Ascension-de-Notre-Seigneur,"Program for the renewal of drinking water and wastewater pipes (PRECO)",478890,
L'Ascension-de-Notre-Seigneur,"Program for the renewal of drinking water and wastewater pipes (PRECO)",760740,
L'Ascension-de-Notre-Seigneur,"Program for the renewal of drinking water and wastewater pipes (PRECO)",62300,
L'Ascension-de-Notre-Seigneur,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1188435,
L'ascension-de-Patapédia,"Du Chamberland Road Improvements",1010000,
L'Assomption,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1568750,
L'Assomption,"Program for the renewal of drinking water and wastewater pipes (PRECO)",210800,
L'Assomption,"Repairs to Highway 40 West in L'Assomption and Saint-Sulpice",5325000,
L'Île-Perrot,"Program for the renewal of drinking water and wastewater pipes (PRECO)",479700,
L'Île-Perrot,"Program for the renewal of drinking water and wastewater pipes (PRECO)",487000,
L'Isle aux Allumettes,"Drinking water treatment and supply ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
L'Isle-aux-Allumettes,"Harrington Community Centre Renovations",62333,
L'Islet,"Restoring Boats at the Musée Maritime du Québec",465503,
L'Islet,"Program for the renewal of drinking water and wastewater pipes (PRECO)",240775,
L'Islet,"Development of an industrial park- Phase 1",212192,
La Baie,"Land Development for the Intermodal Marine Industrial Park at Grande Anse",2360000,
La Conception,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
La Doré,"Drinking water supply ? phase I",127087,
La Guadeloupe,"Program for the renewal of drinking water and wastewater pipes (PRECO)",442650,
La Malbaie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",574500,
La Malbaie,"Charlevoix Museum Upgrades",260000,
La Malbaie,"Construction of the Laure-Conan Library in La Malbaie",1166000,
La Malbaie,"Lane construction on Highway 138",1344000,
La Minerve,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
La Pêche,"Repairs to Highway 105 in La Pêche",787500,
La Pêche,"Solidarity Cooperative/Wakefield-La Pêche Community Centre",1646182,
La Prairie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",525100,
La Prairie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",182200,
La Prairie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",582615,
La Rédemption,"Wastewater treatment",1057500,
La Reine,"De la Reine Clerval Highway Resurfacing",1850000,
La Trinité-des-Monts,"Program for the renewal of drinking water and wastewater pipes (PRECO)",287175,
La Trinité-des-Monts,"Program for the renewal of drinking water and wastewater pipes (PRECO)",83600,
La Tuque,"Program for the renewal of drinking water and wastewater pipes (PRECO)",620190,
La Tuque,"Repairs to Route 155",1100000,
La Visitation-de-Yamaska,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1003450,
Lac Pythonga,"Resurfacing Highway 117",3150000,
Lac-Achouakan,"Bridge Reconstruction on Highway 169",3360000,
Lac-Ashuapmushuan,"Repairs to Route 167 in Lac-Ashuapmushuan",2900000,
Lac-aux-Sables,"Program for the renewal of drinking water and wastewater pipes (PRECO)",76125,
Lac-aux-Sables,"Program for the renewal of drinking water and wastewater pipes (PRECO)",443400,
Lac-aux-Sables,"Improvements to Highway 153 in the Municipality of Lac-aux-Sables",655000,
Lac-Beauport,"Program for the renewal of drinking water and wastewater pipes (PRECO)",75000,
Lac-Bouchette,"Repairs to Highway 155 in the Municipality of Lac Bouchette",3321000,
Lac-Brome,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1334875,
Lac-des-Écosses,"Program for the renewal of drinking water and wastewater pipes (PRECO)",471940,
Lac-Drolet,"Program for the renewal of drinking water and wastewater pipes (PRECO)",207500,
Lac-Etchemin,"Upgrade of the Arts and Cultural Centre",383070,
Lac-Etchemin,"Program for the renewal of drinking water and wastewater pipes (PRECO)",159250,
Lac-Etchemin,"Renovation of municipal arena - Phase 2",658333,
Lac-Jacques-Cartier,"Resurfacing and paving the roadway shoulders on Highway 169 in the territory of Lac Jacques Cartier",831000,
Lac-Mégantic,"Program for the renewal of drinking water and wastewater pipes (PRECO)",733780,
Lac-Mégantic,"Mégantic Sports Centre",11557236,
Lac-Mégantic,"Program for the renewal of drinking water and wastewater pipes (PRECO)",197015,
Lac-Pikauba,"Pavement Repairs on Route 381",1612500,
Lac-Saint-Jean,"Improvement phase II - Véloroute des bleuets",1701792,
Lac-Sainte-Marie,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1367915,
Lac-Supérieur,"Repairs to Lac-Supérieur Road",1200852,
Lachute,"Program for the renewal of drinking water and wastewater pipes (PRECO)",67200,
Lachute,"Program for the renewal of drinking water and wastewater pipes (PRECO)",159360,
