Location,"Project Title","Federal Contribution",Note
Kimberley,"Highway 95A Sidewalk Project",168125,
Kimberley,"Marysville watermain replacement",667000,
Kimberley,"Highway 95A: Fortier Street to Kuppenbender Road 2 ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Kimberley,"Mark Creek Flume Stream Rehabilitation",1034291,
Kitimat,"Walkway Rejuvenation Project",174333,
Kitimat,"Sewage Treatment Plant Retrofit",1200000,
Klemtu,"Klemtu Terminal",8509783,
"Kootenay Boundary","Living Arts Centre - Wastewater Treatment",133333,
Ladysmith,"Ball Field Project",187500,
"Lake Country","Wood Lake Water Quality and Supply Improvements",1680000,
"Lake Country","Universal Metering 2016 Agricultural Meters and Backflow Preventers ",394018,
"Lake Cowichan","Domestic Water Metering - Stage 1",200000,
"Lake Cowichan","Flood protection for a sewage lift station",76733,
Langdale,"Langdale Terminal - New Wastewater Treatment Plant",1800000,
Langdale,"Langdale Terminal Upgrades",785400,
Langford,"Improving Active Transportation Along Goldstream Avenue",122146,
Langford,"City of Langford - Stormwater flood hazard protection",614075,
Langford,"Construction of the City Centre Park Sportsplex",4464547,
Langford,"Willing Park Stormwater Detention Pond Construction",366133,
Langford,"Westshore Parkway Completion",7450856,
Langford,"Highway 1 Admirals Road/McKenzie Avenue Interchange project",32647500,
Langley,"Langley - 202nd Street Park and Ride",15158638,
Langley,"Resurfacing Highway 10",540000,
Langley,"208th Street Road Repairs and Utility Renewal",1679681,
Langley,"96th Avenue Widening and Intersection Improvements",839460,
Langley,"Aldergrove Water Treatment Plant - Heat Recovery",33333,
Langley,"Nicomekl Bridge replacement on Fraser Highway",2639678,
Langley,"West Langley dyke upgrade - Emergency Management British Columbia (EMBC)",475000,
Langley,"203 Street Bridge Upgrade and Roundabout Project",1445333,
"Levette Lake, Squamish","Levette Lake Forest Service Road",69000,
Lillooet,"Main Street Multi-Use Pathway - Phase 1",60000,
Lillooet,"Conservation and Reduction Project",166667,
Lillooet,"Highway 99 - Fountain Slide Slope - Stabilization and dainage",1500000,
Lillooet,"Highway 99 - Gott Creek Bridge",1250000,
Lillooet,"Highway 99 - Regional Boundary to Long Cayoosh Bridge",990000,
Lillooet,"Siwhe Bridge ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Lillooet area","Repaving Lillooet River Forest Service Road",130000,
"Lions Bay","Kelvin Grove Sewer Treatment Plant Expansion",27483,
"Lions Bay","Lower Lions Bay Water Line Replacement",291666,
"Logan Lake","Wastewater Upgrade Project",81960,
"Logan Lake","Renewal/Rehabilitation of Existing Infrastructure",225000,
"Lone Butte","Highway 24: Highway 97 to Lorne Butte ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Lumby,"Resurfacing of Highway 6 - Lumby",1233920,
Lumby,"Shuswap Avenue Pathway",57533,
Lumby,"Water Supply in Lumby - Phase 3",200282,
Lumby,"Lumby Community Park Lift Station Replacement and Amenity Upgrade ",519333,
Mackenzie,"Sewage Lagoon",342470,
"Macoah First Nation Village","Road Work on Maggie Lake Forest Service Road",148500,
Malakwa,"Highway 1 Malakwa Bridge",13000000,
"Maple Ridge","Maple Ridge Sewer Extension",3000000,
"Maple Ridge","North Alouette River Greenway Bridge Crossing",24750,
"Maple Ridge","Downtown core road and public services rehabilitation",1868488,
Masset,"Northwest Drive Path",16325,
Masset,"Waterline Replacement",517965,
McBride,"Water Metering and Conservation Project",125000,
McBride,"Eco-Sensitive Solution to Wastewater Treatment - Phase II",691666,
McBride,"McBride Eco-Sensitive Solution to Waste Water Treatment",517598,
"McBride Area","Lucille Mountain Forest Service Road Bridge Replacement",63000,
Merritt,"South East Balancing Reservoir",777377,
Merritt,"City Centre Enhancement",133333,
Merritt,"Highway 97C - Coldwater Interchange to Brake Check",863000,
Merritt,"Nicola Valley Aquatic Centre Upgrades",101866,
"Merritt , Hope","Highway 5 - Great Bear Snowshed",350000,
Metchosin/Sooke,"Highway 14 - Metchosin to Sooke",2700000,
Metchosin/Sooke,"Highway 4 - Tofino Area (Kennedy Lake)",900000,
"Metro Vancouver","Knight Street Bridge Seismic Upgrade",1045000,
Mission,"Reconstruction of Cedar Street",1293675,
Mission,"Florence Lake Forest Service Road",510000,
Mission,"Highway 11 - Mission Bridge Railing Improvement",674000,
Mission,"Highway 7 Resurfacing - Chester Road to Nelson Road",225000,
Mission,"Dike improvements in Mission",271203,
Mission,"Hatzic - Construction of Hatzic Pump Station",1346500,
Mission,"Flood Protection ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Mission,"Highway 7: Wren to Nelson ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Monte Creek, Pritchard","Highway 1 - Monte Creek to Pritchard",16700000,
"Monte Creek, Pritchard","Highway 97 - Winfield to Oyoma",33582000,
"Mount Waddington","Woss Community Infrastructure Project",161958,
Nanaimo,"Meadow Drive Community Park Development",18495,
Nanaimo,"Centre Median - Cedar Road to Nanaimo River Road",1035000,
Nanaimo,"Cruise Ship Terminal Facility",8500000,
Nanaimo,"Departure Bay Terminal - Sewage pump",481057,
Nanaimo,"Duke Point Terminal - Sewage Pump",477015,
Nanaimo,"South Fork Water Treatment Plant",8913043,
Nanaimo,"Vancouver Island Railway",7500000,
Nanaimo,"Whiskey Creek Water System - Treatment",145266,
"Nanaimo Area","Highway 1 Resurfacing - Nanaimo River Road to Spitfire Road",675000,
Nazko,"Upgrades to North-Baezaeko Forest Service Road",165000,
Nelson,"Nelson Pedestrian Sidewalk/Pathway Extension and Bridge Improvements",120875,
Nelson,"Sewer System Replacement",187500,
Nelson,"Energy Efficiency Improvements",187500,
Nelson,"Highway 3A - Nelson Westbound Passing Lane",2721000,
"New Denver","Municipal Office/Works Building Upgrade",139994,
"New Hazelton","Water Distribution System Improvements",222855,
"New Westminster","Street and sidewalk revitalization",2666666,
"New Westminster","Westminster Pier Park",8300914,
"Nicomen Island","Athey Road Dike Protection/Bank Stabilization Phase II",102352,
"North Bend, Boston Bar","Harrison East Forest Service Road",450000,
"North end of Kootenay Lake","Duncan Glacier Forest Service Road Bridge Replacement",73000,
"North of Clearwater","Bridge Replacement on Spahats Forest Service Road",47500,
"North of Golden","Rock Slope Remediation on Bush Forest Service Road",130000,
"North of Golden","Bridge replacement on Blaeberry Forest Service Road",93000,
"North of Sparwood and Elkford","Elk River Bridge Replacement",50970,
"North Okanagan","Water Treatment Upgrade",200000,
"North Pender Island","Magic Lake Estates Water System Upgrade",2625000,
"North Saanich","Highway 17 - McTavish Interchange",10500000,
"North Vancouver","Larson Road Bike Route",36675,
"North Vancouver","Lonsdale Energy Corporation Energy Piping on St. George's Avenue to the Gerry Brewer Building",41667,
"North Vancouver","Marine Drive Corridor Improvement",443334,
"North Vancouver","Repaving Chesterfield Avenue, from 1st to 3rd Streets",21667,
"North Vancouver","Repaving Fell Avenue from Marine Drive to 16th Street",50000,
"North Vancouver","Sidewalk Reconstruction - Various locations in Central Lonsdale",16667,
"North Vancouver","Artificial turf sports field",1079666,
"North Vancouver","Bridge rehabilitation",482666,
"North Vancouver","Installation of priority sidewalks in the District of North Vancouver",493333,
"North Vancouver","Lynnmour dyke flood protection",142780,
"North Vancouver","Spirit Trail Harbourside West pedestrian overpass and multi-use trail",800338,
"North Vancouver","Mackay Creek Dike Flood Mitigation - South",474450,
"North Vancouver","Highway 1 Lower Lynn Corridor Improvement",34100000,
"Northern Rockies Regional Municipality (NNRM)","Fort Nelson - Drinking Water Quality, Security of Supply and Energy Efficiency",1290000,
"Oak Bay","Beach Drive Upgrade",160437,
"Okanagan Falls","Okanagan Falls Sewage Treatment Plant",3126666,
Okanagan-Similkameen,"Faulder Water System Improvements",305117,
Osoyoos,"Sewage Lagoon Upgrades",134333,
Osoyoos,"87th Street Reconstruction",196666,
Osoyoos,"Highway 97 - Deadman Passing Lanes",3150000,
Parksville,"Water Distribution Upgrade",46667,
Parksville,"Moilliet Street Upgrade",872771,
Parksville,"Englishman River Water Service (ERWS) ",3000000,
"Peace River Regional District","Construction of the Buick Arena",200000,
Peachland,"Beach Avenue Roadway and Multi-Use Pathway Improvements",1130000,
Pemberton,"One Mile Lake Accessible Trail Improvements",20000,
Pemberton,"Water Metering and Leak Detection",166667,
Pemberton,"Watermain Looping",214620,
Pemberton,"Culvert replacement for the Pemberton Creek dike",39660,
Pemberton,"Pemberton Skate and Bike Park",122618,
Pemberton,"Ayers Dike Upgrade",203921,
"Pemberton area","Lillooet West Road Renewal",60000,
"Pender Harbour","South Pender Harbour Water Treatment Plant",2030000,
Penticton,"Highway 97 Resurfacing",1050000,
Penticton,"Penticton -  West Bench Improvement District Treated Water Supply and Upgrade",1690000,
Penticton,"Penticton Community Centre",7674983,
"Pitt Meadows","Highway 7 Rapid Bus Lane",8000000,
"Pitt Meadows","Construction of an artificial turf playing field",579769,
"Port Alberni","Highway 4 - West of Port Alberni",1395000,
"Port Alberni","Improvements to Nahmint Forest Service Road",40500,
"Port Alberni","Port Alberni China Creek Watermain Replacement Phase 2",583333,
"Port Alberni","Nook Culvert ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Port Alberni","Dry Creek Improvements",912166,
"Port Alberni area","Bridge Replacement on Nahmint 3 Forest Service Road",125000,
"Port Alberni, Qualicum","Highway 4 Barrier Installation",100000,
"Port Alice","Community Centre Upgrade",200000,
"Port Alice","Upgrades to the Port Alice Community Centre",345500,
"Port Clements","Sewage Treatment Facility Upgrade",41142,
"Port Coquitlam","Broadway Street reconstruction",3789649,
"Port Coquitlam","Blakeburn Lagoons Sanitary Settling Pond Remediation ",948666,
"Port Coquitlam/Coquitlam","Highway 7B/7 - Mary Hill Bypass/Port Coquitlam",569500,
"Port Douglas First Nation","Improvements to Harrison West Forest Service Road",180000,
"Port Douglas First Nation","Improvements to Harrison West Forest Service Road",420000,
"Port Edward","Watermain Replacement",200000,
