Location,Project Title,Federal Contribution,Note
Shoal Lake,Highway #16�- at Provincial Trunk Highway 21 (Shoal Lake) ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Souris,Souris Wastewater Treatment Plant,300667,
"Souris, Melita, Duck Bay, Waterhen, St. Clements, East Saint Paul, West Saint Paul",Flood Dike Improvement in 7 Small Communities,6750000,
South Norfolk,Highway 2 Paving,3169900,
South St. Andrews,St. Andrews Wastewater Collection Project - Phase 1,2000000,
South Whiteshell - Whiteshell Provincial Park,Watchorn Water Treatment Plant,100000,
Springfield,Springfield Road Sewage Lift Station and Forcemain Upgrade ,637500,
Springfield and Tache,Trans Canada Prairie Grove Drain Reconstruction,122354,
St-Lazare,St. Lazare Water Treatment Plant Upgrade,262319,
St. Adolphe,St. Adolphe east dyke,2310400,
St. Laurent,St. Laurent Municipal Road Improvements,236260,
Stanley,Water Reservoir Expansion,421667,
Ste. Agathe,Highway #75 - Ste. Agathe - Winnipeg ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Ste. Anne,Sewer System Upgrade,183333,
Ste. Anne,Wastewater Lift Station,238000,
Ste. Rose du Lac,Community Revitalization Project,476666,
Ste. Rose du Lac,Water Distribution Line Expansion,128586,
Steinbach,Wastewater Lagoon Expansion,3500000,
Steinbach,Phase 1 of the Underground Water and Wastewater Infrastructure Renewal,325000,
Stephenfield,Upgrades to the Pembina Valley Water Co-op's Regional Water Treatment Plant,1000000,
Stonewall,Quarry Park Heritage Arts Centre,1350000,
Stonewall,Watermain Expansion and Street Renewal,330656,
Stonewall,Construction of a wetland,203750,
Swan River,Potten Drive Area Paving,333333,
Swan River,Recreation and Wellness Centre,2000000,
Swan River,Hayes Street Pump Station Upgrade and Expansion,175000,
Tach�,Gendron Road Redevelopment,57666,
The Pas,Water Treatment Plant Upgrades,828661,
Thompson,Asphaltite Renewal Program,50000,
Thompson,Recycling Facility Expansion,84000,
Thompson,Thompson Community Complex,2914200,
Thompson,City of Thompson Wastewater Treatment Plant,12166667,
Treherne,Renewal of the waterline in critical areas,433333,
Virden,Multi-use recreation facility - Virden,2725000,
Virden,Second phase of construction of the Wastewater Treatment Plant,8000000,
Wabowden,Recreation Centre Renewal,449560,
Wabowden,Lagoon Expansion,533333,
Wallace Lake,Rural Municipality of Wallace Water Supply Project,2000000,
West of Moosehorn,Wellman Lake Water Treatment Plant,100000,
West of Winnipeg,TransCanada Highway - Highway 1 Paving (Assiniboine River to Headingley),349788,
Westbourne,Expansion of the Yellowhead regional water system ,449644,
Whiteshell Provincial Park,White Lake Septic Field Decommission and Lagoon Construction,362500,
Whiteshell Provincial Park - Decimal,Nutimik Facilities Modernization - Whiteshell Provincial Park,300000,
Winkler,New potable water treatment facility,1197000,
Winnipeg,Alexander/Pacific Bikeway,141666,
Winnipeg,Archibald Pathway,300000,
Winnipeg,Assiniboine Bikeway,41666,
Winnipeg,Bannatyne/McDermot Bikeway,83333,
Winnipeg,Berry Street Bikeway,86666,
Winnipeg,Bison Drive Pathway,80000,
Winnipeg,Brazier/Roch Bikeway,116666,
Winnipeg,Community Centres Amalgamation Project,1500000,
Winnipeg,Dakota/Dunkirk Pathway Phase 1,466666,
Winnipeg,Dakota/Dunkirk Pathway Phase 2,300000,
Winnipeg,Dugald Pathway,300000,
Winnipeg,Ellice/St. Matthews Bikeway,133333,
Winnipeg,Eugenie/Des Meurons Bikeway,41666,
Winnipeg,Fleet/Warsaw Bikeway,225000,
Winnipeg,Grosvenor Bikeway,175000,
Winnipeg,Harrow Street Bikeway,125000,
Winnipeg,Hay Street Bikeway,75000,
Winnipeg,"Highway 1 East Reconstruction, from Highway 100 to Highway 12",30000000,
Winnipeg,Jewish Learning Community Centre,320000,
Winnipeg,Jubilee Bikeway,300000,
Winnipeg,Kildare Avenue Bikeway,225000,
Winnipeg,Kildonan Golf Course Pathway,166666,
Winnipeg,Lagimodiere Pathway,233333,
Winnipeg,Machray Bikeway,300000,
Winnipeg,Manitoba Centennial Centre Refurbishment,2500000,
Winnipeg,Manitoba Children's Museum,1250000,
Winnipeg,Moray Street Pathway,133333,
Winnipeg,Nassau Bikeway,75000,
Winnipeg,North Main Community Business Complex,1318333,
Winnipeg,Omand's Creek Park Active Transportation,150000,
Winnipeg,Pritchard Bikeway,300000,
Winnipeg,Seine River Pathway,83333,
Winnipeg,Sherbrook/Marryland Bike Lanes,76000,
Winnipeg,Sherwin Road Pathway,166666,
Winnipeg,Silver Ave Pathway,673333,
Winnipeg,Somerville to Seal Pathway,20000,
Winnipeg,Southdale Community/Recreation Centre Expansion,2000000,
Winnipeg,St. Charles/Flora Bikeway,20000,
Winnipeg,St. Mary Avenue Bike Lane,20000,
Winnipeg,Transcona Trail Phase 1,400000,
Winnipeg,Transcona Trail Phase 2,433333,
Winnipeg,United Way Headquarters,3333333,
Winnipeg,Waverley Pathway,33333,
Winnipeg,Wilkes Avenue Pathway,100000,
Winnipeg,Winnipeg - Community Food Distribution and Training Centre,1666667,
Winnipeg,Winnipeg - Salvation Army Multicultural Family Centre,1500000,
Winnipeg,Winnipeg Art Gallery Roof Replacement,733000,
Winnipeg,Winnipeg Beach Redevelopment Initiative,2500000,
Winnipeg,Winnipeg Chinese Cultural and Community Centre Upgrades,66667,
Winnipeg,York Avenue Bike Lanes,20000,
Winnipeg,Youth For Christ Winnipeg Inc. - Centre for Youth Excellence,3193515,
Winnipeg,Winnipeg South End Water Pollution Control Centre upgrades,10976666,
Winnipeg,Border to Beaches,1453703,
Winnipeg,Manitoba Floodway Expansion Project,332500000,
Winnipeg,Waverley West Arterial Road,18233333,
Winnipeg,Centreport Canada Way,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Community Dike Initiatives ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Four-year Pavement Preservation Initiative ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Hydrometric Network Infrastructure ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Manitoba Sikh Cultural and Senior's Centre ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Melita Flood Protection Initiative ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,MTS Iceplex and Hockey Canada Centre of Excellence ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Portage Diversion: Assessment and Rehabilitation ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Road improvements ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Shellmouth Dam Enhancement Initiative ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,University of Manitoba Sport Precinct ,5833333.33,$175 million has been committed to date to the province of Manitoba for initiatives funded under Provincial-Territorial Base Fund.
Winnipeg,Winnipeg Convention Centre Expansion and Renovation,46646667,
Winnipeg,Plessis Road Twinning,25000000,
Winnipeg,Waverley Street Underpass at CN Mainline,45900000,
Winnipeg,Gunn Road Upgrade,2500000,
Winnipeg,Improved lagoon treatment system,1166666,
Winnipegosis,Lift Station Upgrades,241000,
