Location,Project Title,Federal Contribution,Note
Quispamsis,Wildwood/Sun Valley sanitary sewage collection system,1733333,
Quispamsis,Ritchie Lake Collector Sewer and Longwood Upgrades,2300000,
Rexton,Rehabilitation of Route 470,800000,
Rexton,Route 116 - to Rexton village limits,1137287,
Rexton,Various wastewater collection system upgrades,342375,
Richibucto,Route 11 - Richibucto River to Richibucto town limit,654500,
Richibucto,Upgrade of water distribution system,315974,
Richibucto,Upgrade of Mooney Street Lift Station,156626,
Riverside-Albert,Riverside-Albert Back-up Water Operator,27578,
Riverside-Albert,Water System Expansion (Water Storage),456813,
Riverview,Sanitary sewage pumping station and sewer pipes - East Sector,1400000,
Riverview,Mill Creek Culvert - Pine Glen Road,368898,
Rivi�re-Verte,Montagne de la Croix Road,1505000,
Rivi�re-Verte,Upgrade to the Water Filtration Plant,517144,
Rothesay,Expansion of the Water System in West Rothesay,1270000,
Rothesay,Upgrade of the municipal water treatment and distribution system,1500000,
Rothesay,Wastewater Collection System Upgrade,2499000,
Sackville,Water Tower,1215121,
Saint Andrews,Route 127 Rehabilitation,337500,
Saint John,Beaverbrook Avenue Watermain Installation,581042,
Saint John,Cottage Hill and Rockwood Water Storage Reservoir,200000,
Saint John,Dever Road - Watermain,1300000,
Saint John,District metering - Saint John,466666,
Saint John,Installation of a Transmission Main in East Phinney Hill,2066667,
Saint John,Pipeline Road West Water Transmission Main,1900000,
Saint John,Road Resurfacing,1250625,
Saint John,Route 111 Rehabilitation,555000,
Saint John,Spruce Lake Industrial Park Watermain Installation,300000,
Saint John,Fundy Region Solid Waste Commission - material recovery facility,220477,
Saint John,Saint John Harbour Clean Up,26600000,
Saint John,Port of Saint John Improvements,68300000,
Saint-Andr�,Upgrade of water and sewer services,1893678,
Saint-Antoine,Upgrade of the Saint-Antoine wastewater treatment facility,1111925,
Saint-Antoine,Water infrastructure upgrades,699953,
Saint-Fran�ois-de-Madawaska,Lebel Street pipe replacement,22729,
Saint-L�onard,Improvements to the water supply and sanitary sewer system,545406,
Saint-Quentin,Route 17 - Saint-Quentin,500000,
Saint-Quentin,Route 180 - Five Fingers Brook to Station 4 + 850,400000,
Saint-Quentin,"Replacement of watermains and sanitary sewer line on Canada Street, phase 3, from St-Jean Street to Grand-Pr� Street",225120,
Sainte-Anne de Madawaska,New water treatment plant,224524,
Savoie Landing,Rehabilitating and Repaving Route 113,272500,
Scoudouc,Route 15 - Scoudouc Industrial Park Interchange,3136500,
Shediac,Route 11 - Route 535 toward Route 115,1380000,
Shediac,Chelsea Street Upgrades,1527756,
Shediac and Campbellton,National Highway System - Route 11 Bypass & Twinning (Route 15 to Southside of Shediac River) ,27000000,
Shemogue,Rehabilitating and Repaving Route 950,800000,
Shemogue,Route 15 - Route 950 turning lanes,550000,
Shippagan,Rehabilitation of the Sanitary Sewer,378227,
Shippagan,Sanitary sewer and water line renewal (Phase 4),718820,
St-Andr�,Water Reservoir Replacement,427629,
St. Andrews,Wastewater treatment plant upgrading,976324,
St. George,New Water Storage Reservoir,968694,
St. Stephen,Combined Sewer Elimination and Water Main Renewal,1220406,
St. Stephen,Garcelon Civic Centre,8200000,
St. Stephen,Prince William Street Infrastructure Renewal,929437,
Sussex,Wastewater Treatment Plant Disinfection Unit,259463,
Sussex Corner,Sanitary sewer and watermain extension,270014,
Tide Head,Upgrading of water and sanitary sewer,253333,
Tracadie,Phase 5 of commercial park construction,423476,
Tracadie-Sheila,Improvements to the pumping station on Rive Street,91530,
Tracadie-Sheila,Study on protection of well field [well #6],22882,
Various,New Brunswick Highways,112500000,
Whites Brook,Route 17 - Whites Brook,918000,
Whites Brook to Kedgwick Village,Route 17 - Whites Brook to Kedgwick Village,1863500,
Zealand,Stone Ridge Bridge Replacement,180000,
